CHEMONTID:0000000	Organic compounds	Compounds that contain at least carbon atom, excluding isocyanide/cyanide and their non-hydrocarbyl derivatives, thiophosgene, carbon diselenide, carbon monosulfide, carbon disulfide, carbon subsulfide, carbon monoxide, carbon trioxide, Carbon suboxide, and dicarbon monoxide.	CHEMONTID:9999999
CHEMONTID:0000001	Inorganic compounds	Compounds that do not contain a C atom.	CHEMONTID:9999999
CHEMONTID:0000002	Organoheterocyclic compounds	Compounds containing a ring with least one carbon atom and one non-carbon atom.	CHEMONTID:0000000
CHEMONTID:0000003	Thiepanes	Organic compounds containing a heptane ring in which one carbon atom is replaced by a sulfur atom.	CHEMONTID:0000002
CHEMONTID:0000004	Organosulfur compounds	Organic compounds containing a carbon-sulfur bond.	CHEMONTID:0000000
CHEMONTID:0000005	Pyrroloquinoline quinones	Compounds with a structure based on the 2,7,-tricarboxy-1H-pyrrolo[2,3-f ]quinoline-4,5-dione. Pyrroloquinoline Quinones usually bear a carboxylic acid group at the C-2, C-7 and C-9 positions.	CHEMONTID:0001734
CHEMONTID:0000006	Benzoxazolines	Organic compounds containing a benzene ring fused to an oxazoline ring. Oxazoline is five-membered unsaturated ring with a nitrogen atom and an oxygen atom at the 1- and 3-position, respectively. Additionally, it contains two double bonds.	CHEMONTID:0000002
CHEMONTID:0000007	Amidines	Derivatives of oxoacids RnE(=O)OH in which the hydroxy group is replaced by an amino group and the oxo group is replaced by =NR. Amidines include carboxamidines, sulfinamidines and phosphinamidines.	CHEMONTID:0000278
CHEMONTID:0000008	Cembrane diterpenoids	Diterpenoids with a structure based a cembrane skeleton, which is characterized by the presence of an isopropyl group at C-1 and by three symmetrically disposed methyl groups a the t C-4, -8 and -12 positions.	CHEMONTID:0001551
CHEMONTID:0000009	Sulfines	S-Oxides of thioaldehydes and thioketones.	CHEMONTID:0000004
CHEMONTID:0000010	Sulfenes	S,S-Dioxides of thioaldehydes and thioketones, R2C=SO2.	CHEMONTID:0000004
CHEMONTID:0000011	Carbohydrates and carbohydrate conjugates	Monosaccharides, disaccharides, oligosaccharides, polysaccharides, and their derivatives.	CHEMONTID:0000323
CHEMONTID:0000012	Lipids and lipid-like molecules	Fatty acids and their derivatives, and substances related biosynthetically or functionally to these compounds.	CHEMONTID:0000000
CHEMONTID:0000013	Amino acids, peptides, and analogues	Organic compounds containing an amino acid or a peptide backbone, or derivatives thereof.	CHEMONTID:0000265
CHEMONTID:0000014	Phenylbutylamines	Compounds containing a phenylbutylamine moiety, which consists of a phenyl group substituted at the fourth carbon by an butan-1-amine.	CHEMONTID:0002279
CHEMONTID:0000015	Dibenzofurans	Compounds containing a dibenzofuran moiety, which consists of two benzene rings fused to a central furan ring.	CHEMONTID:0000301
CHEMONTID:0000016	Allenes	Compounds in which one carbon atom has double bonds with each of its two adjacent carbon centers. The definition includes both the hydrocarbon molecules and their derivatives obtained by substitution.	CHEMONTID:0000000
CHEMONTID:0000017	Cycloalkenes	Unsaturated monocyclic hydrocarbons having one endocyclic double bond.	CHEMONTID:0002840
CHEMONTID:0000018	Anthracenes	Organic compounds containing a system of three linearly fused benzene rings.	CHEMONTID:0002448
CHEMONTID:0000019	Dibenzocycloheptenes	Compounds containing a dibenzocycloheptene moiety, which consists of two benzene rings connected by a cycloheptene ring.	CHEMONTID:0002448
CHEMONTID:0000020	Fluorenes	Compounds containing a fluorene moiety, which consists of two benzene rings connected through either a cyclopentane, cyclopentene, or cyclopenta-1,3-diene.	CHEMONTID:0002448
CHEMONTID:0000021	Indenes and isoindenes	Compounds containing an indene moiety(which consists of a cyclopentadiene fused to a benzene ring), or a isoindene moiety (which consists of a cyclopentadiene fused to cyclohexadiene ring).	CHEMONTID:0002448
CHEMONTID:0000022	Naphthacenes	Compounds containing a naphthacene moiety, which is a polyaromatic hydrocarbon made of four linearly fused benzene rings.	CHEMONTID:0002448
CHEMONTID:0000023	Naphthalenes	Compounds containing a naphthalene moiety, which consists of two fused benzene rings.	CHEMONTID:0002448
CHEMONTID:0000024	Pentacenes	Compounds containing a pentacene moiety, which is consists of five linearly fused benzene rings.	CHEMONTID:0002448
CHEMONTID:0000025	Phenanthrenes and derivatives	Polycyclic compounds containing a phenanthrene moiety, which is a tricyclic aromatic compound with three non-linearly fused benzene.	CHEMONTID:0002448
CHEMONTID:0000026	Purine ribonucleoside bisphosphates	Purine Ribonucleotides in which the ribose sugar esterified with one phosphate group attached to each of two different hydroxy groups on the sugar, usually at positions 2', 3', or 5'.	CHEMONTID:0001544
CHEMONTID:0000027	Indanes	Compounds containing an indane moiety, which consists of a cyclopentane fused to a benzene ring.	CHEMONTID:0002448
CHEMONTID:0000028	Pyridoxals and derivatives	Compounds containing a pyridoxal moiety, which consists of a pyridine ring substituted at positions 2,3,4, and 5 by a methyl group, a hydroxyl group, a carbaldehyde group, and a hydroxymethyl group, respectively.	CHEMONTID:0002212
CHEMONTID:0000029	Cinnamaldehydes	Organic aromatic compounds containing a cinnamlaldehyde moiety, consisting of a benzene and an aldehyde group to form 3-phenylprop-2-enal.	CHEMONTID:0000261
CHEMONTID:0000030	Hydroxyeicosatrienoic acids	Eicosanoic acids with an attached hydroxyl group and three CC double bonds.	CHEMONTID:0000513
CHEMONTID:0000031	Benzenesulfonamides	Organic compounds containing a sulfonamide group that is S-linked to a benzene ring.	CHEMONTID:0002279
CHEMONTID:0000032	Benzenesulfonic acids and derivatives	Organic compounds containing a sulfonic acid or a derivative thereof that is linked to a benzene ring.	CHEMONTID:0002279
CHEMONTID:0000033	Benzyl alcohols	Organic compounds containing the phenylmethanol substructure.	CHEMONTID:0002279
CHEMONTID:0000034	Sulfobenzoic acids	Benzoic acids carrying a sulfonyl group on the benzene ring.	CHEMONTID:0000032
